ID,类型,类型枚举,子类型,装备部位,名称(简中),名称(繁中),名称(英文),名称(日文),名称(韩文),描述(简中),描述(繁中),描述(英文),简短描述(简中),买价,卖价,积分价,堆叠上限,职业限制,物品标记,技能ID,图标,排序分类,掉落率,Group,NameId,ItemTipId,属性:Str,属性:Dex,属性:Mind,属性:Con,属性:MaxHp,属性:MaxMp,属性:Defense,属性:Stamina,属性:Speed,属性:Move,属性:PhysicalAttack,属性:MagicAttack,属性:FireRes,属性:WaterRes,属性:AirRes,属性:EarthRes,属性:MindRes,属性:IgnoreResist,属性:PhysicalHitRatio,属性:MagicHitRatio,属性:AttackRange,属性:StaminaRatio,属性:MpCostRatio,属性:DodgeRatio,属性:AttackBackRatio,属性:CriticalRatio,属性:StealRatio,属性:ExpRatio,属性:GoldRatio,属性:PhysicalDR,属性:FireDR,属性:WaterDR,属性:AirDR,属性:EarthDR,属性:MindDR,属性:PhysicalRatio,属性:DefenseRatio,属性:AtkDamageRatio,属性:DefDamageRatio,属性:MaxHPRatio,属性:MaxMPRatio
1,装备,Equip,Sword,Weapon,长刀,長刀,Greatblade,長刀,장도,攻击力+15／命中:96%#职业限制:剑士、魔剑士,攻擊力+15／命中:96%#職業限制:劍士、魔劍士,"ATK+15／HIT:96%#Class:Swordsman, Spellblade",攻击力+15／命中:96%#职业限制:剑士、魔剑士,200,100,0,999,SwordMan|SwordMaster|SwordKing|MagicSwordMan|DarkSwordMan|DarkBladePrincess,NotUse,1000,"item_1,item_icon_001",0,0,0,2584,12000,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,装备,Equip,Sword,Weapon,斧剑,斧劍,Axe Sword,斧剣,도끼검,攻击力+23／命中:98%#职业限制:剑士#敏捷-2,攻擊力+23／命中:98%#職業限制:劍士#敏捷-2,ATK+23／HIT:98%#Class:Swordsman#Speed-2,攻击力+23／命中:98%#职业限制:剑士#敏捷-2,500,250,0,999,SwordMan|SwordMaster|SwordKing,NotUse,1001,"item_1,item_icon_002",0,0,0,2585,12001,0,0,0,0,0,0,0,0,-2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,装备,Equip,Sword,Weapon,银剑,銀劍,Silver Sword,銀の剣,은검,攻击力+28／魔击力+5%／命中:94%#职业限制:剑士、魔剑士,攻擊力+28／魔擊力+5%／命中:94%#職業限制:劍士、魔劍士,"ATK+28／MAG ATK+5%／HIT:94%#Class:Swordsman, Spellblade",攻击力+28／魔击力+5%／命中:94%#职业限制:剑士、魔剑士,1200,600,0,999,SwordMan|SwordMaster|SwordKing|MagicSwordMan|DarkSwordMan|DarkBladePrincess,NotUse,1002,"item_1,item_icon_003",0,0,0,224,12002,0,0,0,0,0,0,0,0,0,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,装备,Equip,Sword,Weapon,水晶剑,水晶劍,Crystal Sword,水晶の剣,수정검,攻击力+36／命中:90%#职业限制:剑士、魔剑士,攻擊力+36／命中:90%#職業限制:劍士、魔劍士,"ATK+36／HIT:90%#Class:Swordsman, Spellblade",攻击力+36／命中:90%#职业限制:剑士、魔剑士,1800,900,0,999,SwordMan|SwordMaster|SwordKing|MagicSwordMan|DarkSwordMan|DarkBladePrincess,NotUse,1003,"item_1,item_icon_004",0,0,0,225,12003,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,装备,Equip,Sword,Weapon,霸者之剑,霸者之劍,Conqueror's Blade,覇者の剣,패왕검,攻击力+42／命中:92%#防+3#职业限制:剑士、魔剑士,攻擊力+42／命中:92%#防+3#職業限制:劍士、魔劍士,"ATK+42／HIT:92%#DEF+3#Class:Swordsman, Spellblade",攻击力+42／命中:92%#防+3#职业限制:剑士、魔剑士,2400,1200,0,999,SwordMan|SwordMaster|SwordKing|MagicSwordMan|DarkSwordMan|DarkBladePrincess,NotUse,1004,"item_1,item_icon_005",0,0,0,226,12004,0,0,0,0,0,0,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,装备,Equip,Sword,Weapon,名剑  狂岚,名劍  狂嵐,Master Sword Gale,名剣「狂嵐」,명검 광풍,攻击力+52／命中:96%#风属伤害:5~10#职业限制:剑士,攻擊力+52／命中:96%#風屬傷害:5~10#職業限制:劍士,ATK+52／HIT:96%#Wind DMG:5~10#Class:Swordsman,攻击力+52／命中:96%#风属伤害:5~10#职业限制:剑士,4000,2000,0,999,SwordMan|SwordMaster|SwordKing,NotUse,1005,"item_1,item_icon_006",0,0,0,227,12005,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,装备,Equip,Sword,Weapon,死灵血刃,死靈血刃,Necrotic Bloodblade,死霊の血刃,사령혈도,攻击力+68／命中:90%#防-5#爆击率+10%#职业限制:剑士、魔剑士,攻擊力+68／命中:90%#防-5#爆擊率+10%#職業限制:劍士、魔劍士,"ATK+68／HIT:90%#DEF-5#Crit Rate+10%#Class:Swordsman, Spellblade",攻击力+68／命中:90%#防-5#爆击率+10%#职业限制:剑士、魔剑士,4200,2100,0,999,SwordMan|SwordMaster|SwordKing|MagicSwordMan|DarkSwordMan|DarkBladePrincess,NotUse,1006,"item_1,item_icon_007",0,0,0,241,12006,0,0,0,0,0,0,-5,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,装备,Equip,Sword,Weapon,炎魔剑,炎魔劍,Flame Demon Sword,炎魔の剣,염마검,攻击力+80／魔击力+8%／命中:94%#火属伤害5~10#职业限制:剑士、魔剑士,攻擊力+80／魔擊力+8%／命中:94%#火屬傷害5~10#職業限制:劍士、魔劍士,"ATK+80／MAG ATK+8%／HIT:94%#Fire DMG:5~10#Class:Swordsman, Spellblade",攻击力+80／魔击力+8%／命中:94%#火属伤害5~10#职业限制:剑士、魔剑士,6000,3000,0,999,SwordMan|SwordMaster|SwordKing|MagicSwordMan|DarkSwordMan|DarkBladePrincess,NotUse,1007,"item_1,item_icon_008",0,0,0,310,12007,0,0,0,0,0,0,0,0,0,0,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,装备,Equip,Sword,Weapon,雷神剑,雷神劍,Thunderblade,雷神の剣,뇌신검,攻击力+95／命中:96%#风属伤害:12~18#职业限制:魔剑士,攻擊力+95／命中:96%#風屬傷害:12~18#職業限制:魔劍士,ATK+95／HIT:96%#Wind DMG:12~18#Class:Spellblade,攻击力+95／命中:96%#风属伤害:12~18#职业限制:魔剑士,8000,4000,0,999,MagicSwordMan|DarkSwordMan|DarkBladePrincess,NotUse,1008,"item_1,item_icon_009",0,0,0,118,12008,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,装备,Equip,Sword,Weapon,圣纹之剑,聖紋之劍,Sacred Runeblade,聖紋の剣,성자의 검,攻击力+110／魔击力+10%／命中:98%#防+15#攻击范围+1#职业限制:剑士、魔剑士,攻擊力+110／魔擊力+10%／命中:98%#防+15#攻擊範圍+1#職業限制:劍士、魔劍士,"ATK+110／MAG ATK+10%／HIT:98%#DEF+15#Attack Range+1#Class:Swordsman, Spellblade",攻击力+110／魔击力+10%／命中:98%#防+15#攻击范围+1#职业限制:剑士、魔剑士,16000,8000,0,999,SwordMan|SwordMaster|SwordKing|MagicSwordMan|DarkSwordMan|DarkBladePrincess,NotUse,1009,"item_1,item_icon_010",0,0,0,119,12009,0,0,0,0,0,0,15,0,0,0,110,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,装备,Equip,Sword,Weapon,妖刀  鬼哭,妖刀  鬼哭,Demon Blade Wail,妖刀「鬼哭」,요도 귀곡,攻击力+130／命中:90%#心灵伤害5~10#职业限制:魔剑士,攻擊力+130／命中:90%#心靈傷害5~10#職業限制:魔劍士,ATK+130／HIT:90%#Mind DMG:5~10#Class:Spellblade,攻击力+130／命中:90%#心灵伤害5~10#职业限制:魔剑士,20000,10000,0,999,MagicSwordMan|DarkSwordMan|DarkBladePrincess,NotUse,1010,"item_1,item_icon_011",0,0,0,410,12010,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
